Date,TeamA,TeamB,GoalA,GoalB,Competition,Location,EloABefore,EloAAfter,EloBBefore,EloBAfter
16.12.2017,Japan,South Korea,1,4,East Asian Cup,Home,1746,1697,1702,1751
12.12.2017,Japan,China,2,1,East Asian Cup,Home,1739,1746,1570,1563
12.12.2017,South Korea,North Korea,1,0,East Asian Cup,Neutral,1694,1702,1449,1441
09.12.2017,Japan,North Korea,1,0,East Asian Cup,Home,1735,1739,1453,1449
09.12.2017,China,South Korea,2,2,East Asian Cup,Neutral,1562,1570,1702,1694
15.11.2017,Australia,Honduras,3,1,World Cup qualifier,Home,1703,1718,1611,1596
15.11.2017,Peru,New Zealand,2,0,World Cup qualifier,Home,1861,1866,1545,1540
14.11.2017,Wales,Panama,1,1,Friendly,Home,1747,1742,1651,1656
14.11.2017,Hungary,Costa Rica,1,0,Friendly,Home,1578,1590,1740,1728
14.11.2017,Senegal,South Africa,2,1,World Cup qualifier,Home,1742,1748,1543,1537
14.11.2017,South Korea,Serbia,1,1,Friendly,Home,1704,1702,1750,1752
14.11.2017,Qatar,Iceland,1,1,Friendly tournament,Home,1464,1473,1800,1791
14.11.2017,Ireland,Denmark,1,5,World Cup qualifier,Home,1757,1711,1774,1820
14.11.2017,Austria,Uruguay,2,1,Friendly,Home,1677,1689,1860,1848
14.11.2017,Romania,Netherlands,0,3,Friendly,Home,1682,1669,1863,1876
14.11.2017,Belgium,Japan,1,0,Friendly,Home,1905,1909,1739,1735
14.11.2017,China,Colombia,0,4,Friendly,Home,1570,1562,1903,1911
14.11.2017,Nigeria,Argentina,4,2,Friendly,Neutral,1665,1691,1993,1967
14.11.2017,Portugal,United States,1,1,Friendly,Home,1984,1976,1728,1736
14.11.2017,Russia,Spain,3,3,Friendly,Home,1675,1681,2019,2013
14.11.2017,England,Brazil,0,0,Friendly,Home,1912,1914,2098,2096
14.11.2017,Germany,France,2,2,Friendly,Home,2095,2089,1963,1969
13.11.2017,Bulgaria,Saudi Arabia,1,0,Friendly,Neutral,1590,1600,1606,1596
13.11.2017,Iran,Venezuela,1,0,Friendly,Neutral,1783,1791,1730,1722
13.11.2017,Poland,Mexico,0,1,Friendly,Home,1834,1821,1820,1833
13.11.2017,Italy,Sweden,0,0,World Cup qualifier,Home,1897,1886,1794,1805
12.11.2017,Ghana,Egypt,1,1,World Cup qualifier,Home,1617,1613,1650,1654
12.11.2017,Greece,Croatia,0,0,World Cup qualifier,Home,1636,1642,1844,1838
12.11.2017,Switzerland,Northern Ireland,0,0,World Cup qualifier,Home,1860,1845,1639,1654
11.11.2017,Tunisia,Libya,0,0,World Cup qualifier,Home,1632,1619,1457,1470
11.11.2017,Ivory Coast,Morocco,0,2,World Cup qualifier,Home,1635,1598,1650,1687
11.11.2017,Denmark,Ireland,0,0,World Cup qualifier,Home,1781,1774,1750,1757
11.11.2017,New Zealand,Peru,0,0,World Cup qualifier,Home,1533,1545,1873,1861
11.11.2017,Russia,Argentina,0,1,Friendly,Home,1680,1675,1988,1993
11.11.2017,Spain,Costa Rica,5,0,Friendly,Home,2015,2019,1744,1740
10.11.2017,Algeria,Nigeria,1,1,World Cup qualifier,Home,1528,1530,1667,1665
10.11.2017,Honduras,Australia,0,0,World Cup qualifier,Home,1611,1611,1703,1703
10.11.2017,South Africa,Senegal,0,2,World Cup qualifier,Home,1569,1543,1716,1742
10.11.2017,China,Serbia,0,2,Friendly,Home,1583,1570,1737,1750
10.11.2017,Poland,Uruguay,0,0,Friendly,Home,1836,1834,1858,1860
10.11.2017,Sweden,Italy,1,0,World Cup qualifier,Home,1771,1794,1920,1897
10.11.2017,Belgium,Mexico,3,3,Friendly,Home,1910,1905,1815,1820
10.11.2017,South Korea,Colombia,2,1,Friendly,Home,1691,1704,1916,1903
10.11.2017,France,Wales,2,0,Friendly,Home,1959,1963,1751,1747
10.11.2017,Portugal,Saudi Arabia,3,0,Friendly,Home,1982,1984,1608,1606
10.11.2017,Brazil,Japan,3,1,Friendly,Neutral,2095,2098,1742,1739
10.11.2017,England,Germany,0,0,Friendly,Home,1909,1912,2098,2095
09.11.2017,Iran,Panama,2,1,Friendly,Neutral,1776,1783,1658,1651
09.11.2017,Croatia,Greece,4,1,World Cup qualifier,Home,1833,1844,1647,1636
09.11.2017,Northern Ireland,Switzerland,0,1,World Cup qualifier,Home,1654,1639,1845,1860
09.11.2017,Scotland,Netherlands,0,1,Friendly,Home,1708,1699,1854,1863
08.11.2017,Czechia,Iceland,2,1,Friendly tournament,Neutral,1660,1682,1822,1800
07.11.2017,Saudi Arabia,Latvia,2,0,Friendly,Neutral,1602,1608,1355,1349
24.10.2017,Grenada,Panama,0,5,Friendly,Home,1105,1102,1655,1658
10.10.2017,Saudi Arabia,Ghana,0,3,Friendly,Home,1626,1602,1593,1617
10.10.2017,Japan,Haiti,3,3,Friendly,Home,1750,1742,1458,1466
10.10.2017,Australia,Syria,2,1,World Cup qualifier,Home,1693,1703,1612,1602
10.10.2017,Panama,Costa Rica,2,1,World Cup qualifier,Home,1633,1655,1766,1744
10.10.2017,Morocco,South Korea,3,1,Friendly,Neutral,1632,1650,1709,1691
10.10.2017,Russia,Iran,1,1,Friendly,Home,1680,1680,1776,1776
10.10.2017,Honduras,Mexico,3,2,World Cup qualifier,Home,1582,1611,1844,1815
10.10.2017,Uruguay,Bolivia,4,2,World Cup qualifier,Home,1846,1858,1700,1688
10.10.2017,Netherlands,Sweden,2,0,World Cup qualifier,Home,1836,1854,1789,1771
10.10.2017,Belgium,Cyprus,4,0,World Cup qualifier,Home,1908,1910,1401,1399
10.10.2017,Peru,Colombia,1,1,World Cup qualifier,Home,1877,1873,1912,1916
10.10.2017,Ecuador,Argentina,1,3,World Cup qualifier,Home,1749,1729,1968,1988
10.10.2017,France,Belarus,2,1,World Cup qualifier,Home,1958,1959,1490,1489
10.10.2017,Portugal,Switzerland,2,0,World Cup qualifier,Home,1968,1982,1859,1845
10.10.2017,Brazil,Chile,3,0,World Cup qualifier,Home,2086,2095,1853,1844
09.10.2017,Moldova,Austria,0,1,World Cup qualifier,Home,1319,1311,1669,1677
09.10.2017,Serbia,Georgia,1,0,World Cup qualifier,Home,1733,1737,1461,1457
09.10.2017,Iceland,Kosovo,2,0,World Cup qualifier,Home,1820,1822,1353,1351
09.10.2017,Ukraine,Croatia,0,2,World Cup qualifier,Home,1743,1709,1799,1833
09.10.2017,Albania,Italy,0,1,World Cup qualifier,Home,1581,1573,1912,1920
09.10.2017,Israel,Spain,0,1,World Cup qualifier,Home,1518,1514,2011,2015
08.10.2017,Egypt,Congo,2,1,World Cup qualifier,Home,1646,1650,1386,1382
08.10.2017,Denmark,Romania,1,1,World Cup qualifier,Home,1793,1781,1657,1669
08.10.2017,Poland,Montenegro,4,2,World Cup qualifier,Home,1828,1836,1598,1590
08.10.2017,Lithuania,England,0,1,World Cup qualifier,Home,1388,1385,1906,1909
08.10.2017,Germany,Azerbaijan,5,1,World Cup qualifier,Home,2097,2098,1383,1382
07.10.2017,Saudi Arabia,Jamaica,5,2,Friendly,Home,1616,1626,1561,1551
07.10.2017,Guinea,Tunisia,1,4,World Cup qualifier,Home,1519,1482,1595,1632
07.10.2017,Morocco,Gabon,3,0,World Cup qualifier,Home,1620,1632,1444,1432
07.10.2017,Nigeria,Zambia,1,0,World Cup qualifier,Home,1660,1667,1501,1494
07.10.2017,Costa Rica,Honduras,1,1,World Cup qualifier,Home,1780,1766,1568,1582
07.10.2017,Cape Verde,Senegal,0,2,World Cup qualifier,Home,1472,1452,1696,1716
07.10.2017,Russia,South Korea,4,2,Friendly,Home,1667,1680,1722,1709
07.10.2017,Sweden,Luxembourg,8,0,World Cup qualifier,Home,1786,1789,1277,1274
07.10.2017,Switzerland,Hungary,5,2,World Cup qualifier,Home,1851,1859,1598,1590
07.10.2017,Belarus,Netherlands,1,3,World Cup qualifier,Home,1503,1490,1823,1836
07.10.2017,Bosnia and Herzegovina,Belgium,3,4,World Cup qualifier,Home,1707,1692,1893,1908
07.10.2017,Bulgaria,France,0,1,World Cup qualifier,Home,1609,1601,1950,1958
07.10.2017,Andorra,Portugal,0,2,World Cup qualifier,Home,998,998,1968,1968
06.10.2017,United States,Panama,4,0,World Cup qualifier,Home,1742,1761,1652,1633
06.10.2017,Japan,New Zealand,2,1,Friendly,Home,1747,1750,1536,1533
06.10.2017,Austria,Serbia,3,2,World Cup qualifier,Home,1649,1669,1753,1733
06.10.2017,Turkey,Iceland,0,3,World Cup qualifier,Home,1769,1725,1776,1820
06.10.2017,Mexico,Trinidad and Tobago,3,1,World Cup qualifier,Home,1842,1844,1390,1388
06.10.2017,Croatia,Finland,1,1,World Cup qualifier,Home,1815,1799,1547,1563
06.10.2017,Italy,Macedonia,1,1,World Cup qualifier,Home,1931,1912,1460,1479
06.10.2017,Spain,Albania,3,0,World Cup qualifier,Home,2008,2011,1584,1581
05.10.2017,Syria,Australia,1,1,World Cup qualifier,Neutral,1607,1612,1698,1693
05.10.2017,Iran,Togo,2,0,Friendly,Home,1774,1776,1377,1375
05.10.2017,Montenegro,Denmark,0,1,World Cup qualifier,Home,1615,1598,1776,1793
05.10.2017,Armenia,Poland,1,6,World Cup qualifier,Home,1455,1440,1813,1828
05.10.2017,Chile,Ecuador,2,1,World Cup qualifier,Home,1843,1853,1759,1749
05.10.2017,Venezuela,Uruguay,0,0,World Cup qualifier,Home,1698,1701,1849,1846
05.10.2017,Colombia,Paraguay,1,2,World Cup qualifier,Home,1946,1912,1731,1765
05.10.2017,England,Slovenia,1,0,World Cup qualifier,Home,1902,1906,1623,1619
05.10.2017,Argentina,Peru,0,0,World Cup qualifier,Home,1979,1968,1866,1877
05.10.2017,Bolivia,Brazil,0,0,World Cup qualifier,Home,1686,1700,2100,2086
05.10.2017,Northern Ireland,Germany,1,3,World Cup qualifier,Home,1684,1675,2088,2097
05.09.2017,Democratic Republic of Congo,Tunisia,2,2,World Cup qualifier,Neutral,1579,1574,1590,1595
05.09.2017,Egypt,Uganda,1,0,World Cup qualifier,Home,1637,1646,1513,1504
05.09.2017,Panama,Trinidad and Tobago,3,0,World Cup qualifier,Home,1644,1652,1398,1390
05.09.2017,Mali,Morocco,0,0,World Cup qualifier,Home,1509,1510,1621,1620
05.09.2017,Austria,Georgia,1,1,World Cup qualifier,Home,1663,1649,1457,1471
05.09.2017,Saudi Arabia,Japan,1,0,World Cup qualifier,Home,1591,1616,1772,1747
05.09.2017,Australia,Thailand,2,1,World Cup qualifier,Home,1694,1698,1392,1388
05.09.2017,Burkina Faso,Senegal,2,2,World Cup qualifier,Home,1621,1620,1695,1696
05.09.2017,Uzbekistan,South Korea,0,0,World Cup qualifier,Home,1613,1614,1723,1722
05.09.2017,Ireland,Serbia,0,1,World Cup qualifier,Home,1745,1718,1726,1753
05.09.2017,Iceland,Ukraine,2,0,World Cup qualifier,Home,1754,1776,1759,1737
05.09.2017,Iran,Syria,2,2,World Cup qualifier,Home,1788,1774,1593,1607
05.09.2017,Costa Rica,Mexico,1,1,World Cup qualifier,Home,1783,1780,1839,1842
05.09.2017,Turkey,Croatia,1,0,World Cup qualifier,Home,1750,1769,1834,1815
05.09.2017,Bolivia,Chile,1,0,World Cup qualifier,Home,1660,1686,1869,1843
05.09.2017,Paraguay,Uruguay,1,2,World Cup qualifier,Home,1752,1731,1828,1849
05.09.2017,Ecuador,Peru,1,2,World Cup qualifier,Home,1781,1759,1844,1866
05.09.2017,Italy,Israel,1,0,World Cup qualifier,Home,1929,1931,1513,1511
05.09.2017,Argentina,Venezuela,1,1,World Cup qualifier,Home,1996,1979,1681,1698
05.09.2017,Liechtenstein,Spain,0,8,World Cup qualifier,Home,1141,1140,2007,2008
05.09.2017,Colombia,Brazil,1,1,World Cup qualifier,Home,1943,1946,2103,2100
04.09.2017,Cameroon,Nigeria,1,1,World Cup qualifier,Home,1631,1627,1656,1660
04.09.2017,Armenia,Denmark,1,4,World Cup qualifier,Home,1473,1455,1758,1776
04.09.2017,Poland,Kazakhstan,3,0,World Cup qualifier,Home,1811,1813,1326,1324
04.09.2017,England,Slovakia,2,1,World Cup qualifier,Home,1894,1902,1756,1748
04.09.2017,Germany,Norway,6,0,World Cup qualifier,Home,2086,2088,1556,1554
03.09.2017,Belarus,Sweden,0,4,World Cup qualifier,Home,1527,1503,1762,1786
03.09.2017,Croatia,Kosovo,1,0,World Cup qualifier,Home,1832,1834,1372,1370
03.09.2017,Latvia,Switzerland,0,3,World Cup qualifier,Home,1356,1349,1844,1851
03.09.2017,Netherlands,Bulgaria,3,1,World Cup qualifier,Home,1814,1823,1618,1609
03.09.2017,Greece,Belgium,1,2,World Cup qualifier,Home,1646,1633,1880,1893
03.09.2017,France,Luxembourg,0,0,World Cup qualifier,Home,1970,1950,1257,1277
03.09.2017,Hungary,Portugal,0,1,World Cup qualifier,Home,1605,1598,1961,1968
02.09.2017,Wales,Austria,1,0,World Cup qualifier,Home,1751,1762,1674,1663
02.09.2017,Senegal,Burkina Faso,0,0,World Cup qualifier,Home,1705,1695,1611,1621
02.09.2017,Serbia,Moldova,3,0,World Cup qualifier,Home,1722,1726,1334,1330
02.09.2017,Finland,Iceland,1,0,World Cup qualifier,Home,1507,1536,1783,1754
02.09.2017,Spain,Italy,3,0,World Cup qualifier,Home,1985,2007,1951,1929
01.09.2017,Tunisia,Democratic Republic of Congo,2,1,World Cup qualifier,Home,1574,1590,1595,1579
01.09.2017,Morocco,Mali,6,0,World Cup qualifier,Home,1597,1621,1533,1509
01.09.2017,Nigeria,Cameroon,4,0,World Cup qualifier,Home,1625,1656,1662,1631
01.09.2017,United States,Costa Rica,0,2,World Cup qualifier,Home,1789,1747,1741,1783
